timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/19 23:43:26.029, 0, 94 %, 21823 MiB, 356.43 W
2026/09/19 23:43:26.030, 1, 91 %, 20893 MiB, 350.05 W
2026/09/19 23:43:56.032, 0, 97 %, 21823 MiB, 380.00 W
2026/09/19 23:43:56.033, 1, 91 %, 20893 MiB, 339.25 W
2026/09/19 23:44:26.034, 0, 94 %, 21823 MiB, 357.01 W
2026/09/19 23:44:26.035, 1, 91 %, 20893 MiB, 328.49 W
2026/09/19 23:44:56.037, 0, 95 %, 21823 MiB, 366.17 W
2026/09/19 23:44:56.038, 1, 92 %, 20893 MiB, 373.69 W
2026/09/19 23:45:26.039, 0, 92 %, 21823 MiB, 373.10 W
2026/09/19 23:45:26.040, 1, 91 %, 20893 MiB, 350.67 W
2026/09/19 23:45:56.042, 0, 94 %, 21823 MiB, 358.04 W
2026/09/19 23:45:56.043, 1, 91 %, 20893 MiB, 328.44 W
2026/09/19 23:46:26.044, 0, 94 %, 21823 MiB, 357.39 W
2026/09/19 23:46:26.045, 1, 85 %, 20893 MiB, 355.48 W
2026/09/19 23:46:56.046, 0, 95 %, 21823 MiB, 399.87 W
2026/09/19 23:46:56.048, 1, 88 %, 20893 MiB, 344.57 W
2026/09/19 23:47:26.049, 0, 94 %, 21823 MiB, 356.71 W
2026/09/19 23:47:26.050, 1, 91 %, 20893 MiB, 334.55 W
2026/09/19 23:47:56.051, 0, 95 %, 21823 MiB, 357.12 W
2026/09/19 23:47:56.053, 1, 91 %, 20893 MiB, 346.42 W
2026/09/19 23:48:26.054, 0, 94 %, 21823 MiB, 356.61 W
2026/09/19 23:48:26.055, 1, 91 %, 20893 MiB, 332.69 W
2026/09/19 23:48:56.056, 0, 94 %, 21823 MiB, 360.60 W
2026/09/19 23:48:56.057, 1, 91 %, 21537 MiB, 360.98 W
2026/09/19 23:49:26.058, 0, 94 %, 21823 MiB, 356.78 W
2026/09/19 23:49:26.060, 1, 97 %, 21537 MiB, 369.92 W
2026/09/19 23:49:56.061, 0, 98 %, 21823 MiB, 376.12 W
2026/09/19 23:49:56.062, 1, 91 %, 21537 MiB, 325.46 W
2026/09/19 23:50:26.063, 0, 94 %, 21823 MiB, 357.85 W
2026/09/19 23:50:26.064, 1, 91 %, 21537 MiB, 330.84 W
2026/09/19 23:50:56.065, 0, 94 %, 21823 MiB, 362.61 W
2026/09/19 23:50:56.066, 1, 91 %, 21537 MiB, 328.03 W
2026/09/19 23:51:26.067, 0, 100 %, 21823 MiB, 410.74 W
2026/09/19 23:51:26.069, 1, 93 %, 21537 MiB, 357.62 W
2026/09/19 23:51:56.070, 0, 95 %, 21823 MiB, 359.29 W
2026/09/19 23:51:56.070, 1, 91 %, 21537 MiB, 375.13 W
2026/09/19 23:52:26.072, 0, 94 %, 21823 MiB, 376.64 W
2026/09/19 23:52:26.073, 1, 89 %, 21537 MiB, 360.22 W
2026/09/19 23:52:56.075, 0, 95 %, 21823 MiB, 380.13 W
2026/09/19 23:52:56.076, 1, 77 %, 21537 MiB, 361.67 W
2026/09/19 23:53:26.078, 0, 94 %, 21823 MiB, 358.96 W
2026/09/19 23:53:26.079, 1, 88 %, 21537 MiB, 343.88 W
2026/09/19 23:53:56.081, 0, 95 %, 21823 MiB, 358.57 W
2026/09/19 23:53:56.081, 1, 91 %, 21537 MiB, 327.83 W
2026/09/19 23:54:26.083, 0, 95 %, 21823 MiB, 358.80 W
2026/09/19 23:54:26.088, 1, 91 %, 21537 MiB, 331.58 W
2026/09/19 23:54:56.089, 0, 95 %, 21823 MiB, 393.49 W
2026/09/19 23:54:56.090, 1, 91 %, 21537 MiB, 362.45 W
2026/09/19 23:55:26.091, 0, 95 %, 21823 MiB, 367.07 W
2026/09/19 23:55:26.092, 1, 91 %, 21537 MiB, 350.82 W
2026/09/19 23:55:56.093, 0, 91 %, 21823 MiB, 372.48 W
2026/09/19 23:55:56.095, 1, 90 %, 21537 MiB, 349.32 W
2026/09/19 23:56:26.096, 0, 94 %, 21823 MiB, 385.09 W
2026/09/19 23:56:26.097, 1, 91 %, 21537 MiB, 352.08 W
2026/09/19 23:56:56.099, 0, 95 %, 21823 MiB, 358.25 W
2026/09/19 23:56:56.100, 1, 91 %, 21537 MiB, 358.43 W
2026/09/19 23:57:26.101, 0, 95 %, 21823 MiB, 357.37 W
2026/09/19 23:57:26.102, 1, 91 %, 21537 MiB, 327.26 W
